model,checkpoint_path,train_dataset,test_dataset,condition,split_policy,test_rows,test_task_category,test_label_meaning,test_dataset_situation,cleaning,deduplicated_text,avg_latency_ms,accuracy,precision_positive,recall_positive,f1_positive,precision_macro,recall_macro,f1_macro,tn,fp,fn,tp
mbert,Models/mbert__train-cm_splits_codemixed__seed42__e2,cm_splits_codemixed,thar_religion,reload_check_2026_06_29,stratified_80_20_split_seed42,2310,targeted religious hate,"0 = Non-AntiReligion, 1 = AntiReligion",Hindi-English code-mixed YouTube comments about religious hate,minimal,True,2.219364970995513,0.5956709956709957,0.5960832313341493,0.4463794683776352,0.510482180293501,0.5957643216282267,0.5878328843118693,0.5830434500287565,889,330,604,487
mbert,Models/mbert__train-cm_splits_codemixed__seed42__e2,cm_splits_codemixed,existing_79_row_benchmark,reload_check_2026_06_29,benchmark,79,hate/sanity-benchmark,"0 = non-hate, 1 = hate",small 79-row sanity benchmark,minimal,True,0.5736249999981853,0.46835443037974683,0.2,0.02564102564102564,0.045454545454545456,0.3432432432432433,0.46282051282051284,0.3385167464114832,36,4,38,1
muril,Models/muril__train-cm_splits_codemixed__seed42__e2,cm_splits_codemixed,kaggle_hinglish_hate,reload_check_2026_06_29,stratified_80_20_split_seed42,956,hate,"0 = non-hate, 1 = hate",Kaggle Code-Mixed Hinglish Hate Speech Detection dataset by Shardul Dhekane,minimal,True,1.5020691255225354,0.5449790794979079,0.42857142857142855,0.49865951742627346,0.46096654275092935,0.5351669403393541,0.5366367913031882,0.5336506921899443,335,248,187,186
muril,Models/muril__train-cm_splits_codemixed__seed42__e2,cm_splits_codemixed,cm_splits_codemixed,reload_check_2026_06_29,provided_test_split,415,offensive/hate-adjacent,"0 = not offensive, 1 = offensive",Indian politics Hindi-English code-mixed Twitter/X data,minimal,True,1.7741600409622096,0.7879518072289157,0.7864077669902912,0.5510204081632653,0.648,0.7874346527259148,0.7344654279622296,0.7481379310344828,246,22,66,81
muril,Models/muril__train-cm_splits_codemixed__seed42__e2,cm_splits_codemixed,thar_religion,reload_check_2026_06_29,stratified_80_20_split_seed42,2310,targeted religious hate,"0 = Non-AntiReligion, 1 = AntiReligion",Hindi-English code-mixed YouTube comments about religious hate,minimal,True,2.0339821787876953,0.5974025974025974,0.5708003518029904,0.5948670944087993,0.5825852782764811,0.5969943788000459,0.597269478295458,0.5968946458272038,731,488,442,649
muril,Models/muril__train-cm_splits_codemixed__seed42__e2,cm_splits_codemixed,existing_79_row_benchmark,reload_check_2026_06_29,benchmark,79,hate/sanity-benchmark,"0 = non-hate, 1 = hate",small 79-row sanity benchmark,minimal,True,0.49623524050787904,0.5063291139240507,0.5,0.02564102564102564,0.04878048780487805,0.5032467532467533,0.5003205128205128,0.35772357723577236,39,1,38,1
mbert,Models/mbert__train-thar_religion__seed42__e2,thar_religion,kaggle_hinglish_hate,reload_check_2026_06_29,stratified_80_20_split_seed42,956,hate,"0 = non-hate, 1 = hate",Kaggle Code-Mixed Hinglish Hate Speech Detection dataset by Shardul Dhekane,minimal,True,1.7384925910045466,0.5292887029288703,0.3333333333333333,0.2064343163538874,0.25496688741721857,0.4625287356321839,0.4711416864788305,0.4554650950847561,429,154,296,77
mbert,Models/mbert__train-thar_religion__seed42__e2,thar_religion,cm_splits_codemixed,reload_check_2026_06_29,provided_test_split,415,offensive/hate-adjacent,"0 = not offensive, 1 = offensive",Indian politics Hindi-English code-mixed Twitter/X data,minimal,True,2.0472431734944334,0.653012048192771,0.5130434782608696,0.4013605442176871,0.45038167938931295,0.6098550724637681,0.5962026601685451,0.5984302763143747,212,56,88,59
mbert,Models/mbert__train-thar_religion__seed42__e2,thar_religion,thar_religion,reload_check_2026_06_29,stratified_80_20_split_seed42,2310,targeted religious hate,"0 = Non-AntiReligion, 1 = AntiReligion",Hindi-English code-mixed YouTube comments about religious hate,minimal,True,2.207845508658099,0.7480519480519481,0.7144060657118787,0.7772685609532539,0.7445127304653204,0.7490106909147105,0.7495858801484891,0.748003589827024,880,339,243,848
mbert,Models/mbert__train-thar_religion__seed42__e2,thar_religion,existing_79_row_benchmark,reload_check_2026_06_29,benchmark,79,hate/sanity-benchmark,"0 = non-hate, 1 = hate",small 79-row sanity benchmark,minimal,True,0.6214578101253785,0.5189873417721519,0.6666666666666666,0.05128205128205128,0.09523809523809523,0.5899122807017544,0.5131410256410256,0.38382594417077176,39,1,37,2
muril,Models/muril__train-thar_religion__seed42__e2,thar_religion,kaggle_hinglish_hate,reload_check_2026_06_29,stratified_80_20_split_seed42,956,hate,"0 = non-hate, 1 = hate",Kaggle Code-Mixed Hinglish Hate Speech Detection dataset by Shardul Dhekane,minimal,True,1.5286460951885836,0.5251046025104602,0.3411764705882353,0.23324396782841822,0.2770700636942675,0.4665939414282118,0.4725396511526311,0.46174375458856676,415,168,286,87
muril,Models/muril__train-thar_religion__seed42__e2,thar_religion,cm_splits_codemixed,reload_check_2026_06_29,provided_test_split,415,offensive/hate-adjacent,"0 = not offensive, 1 = offensive",Indian politics Hindi-English code-mixed Twitter/X data,minimal,True,1.7913265060230175,0.6843373493975904,0.5571428571428572,0.5306122448979592,0.5435540069686411,0.6531168831168832,0.6496344806579348,0.6511508524714291,206,62,69,78
muril,Models/muril__train-thar_religion__seed42__e2,thar_religion,thar_religion,reload_check_2026_06_29,stratified_80_20_split_seed42,2310,targeted religious hate,"0 = Non-AntiReligion, 1 = AntiReligion",Hindi-English code-mixed YouTube comments about religious hate,minimal,True,2.0212135099565343,0.7787878787878788,0.7474402730375427,0.8029330889092575,0.7741935483870968,0.7792561646382792,0.7800555518377297,0.7786962650717835,923,296,215,876
muril,Models/muril__train-thar_religion__seed42__e2,thar_religion,existing_79_row_benchmark,reload_check_2026_06_29,benchmark,79,hate/sanity-benchmark,"0 = non-hate, 1 = hate",small 79-row sanity benchmark,minimal,True,0.5233349113870093,0.5316455696202531,1.0,0.05128205128205128,0.0975609756097561,0.7597402597402597,0.5256410256410257,0.3906608296852199,40,0,37,2
